study_folder,file_name,file_path,file_type,variable_name,variable_group,data_group
1990_eatdis_salad_preload,assay-hunger_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",ratings,cond,other,NA
1990_eatdis_salad_preload,assay-hunger_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",ratings,time,other,NA
1990_eatdis_salad_preload,assay-hunger_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",ratings,hunger,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,id,other,NA
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,cond,other,NA
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,group,other,NA
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,time,other,NA
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,taste_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,desire_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,id,other,NA
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,cond,other,NA
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,group,other,NA
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_appearance_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_odor_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_texture_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_taste_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",sss,dif_desire_snickers,questionnaire,Questionnaire data
